,acc,auc,mcc,pres,recall,f1,i,repeat_seed
0,0.654,0.608,0.0,0.428,0.654,0.517,0.0,8.0
1,0.692,0.791,0.275,0.791,0.692,0.599,0.0,8.0
2,0.654,0.549,0.093,0.609,0.654,0.573,0.0,8.0
3,0.64,0.625,0.011,0.57,0.64,0.581,0.0,8.0
4,0.64,0.646,0.0,0.41,0.64,0.5,0.0,8.0
5,0.64,0.604,0.0,0.41,0.64,0.5,0.0,8.0
6,0.64,0.722,0.0,0.41,0.64,0.5,0.0,8.0
7,0.64,0.736,0.0,0.41,0.64,0.5,0.0,8.0
8,0.64,0.507,0.086,0.597,0.64,0.558,0.0,8.0
9,0.72,0.576,0.393,0.805,0.72,0.656,0.0,8.0
10,0.615,0.569,-0.146,0.418,0.615,0.498,1.0,16.0
11,0.692,0.51,0.275,0.791,0.692,0.599,1.0,16.0
12,0.654,0.667,0.0,0.428,0.654,0.517,1.0,16.0
13,0.68,0.691,0.0,0.462,0.68,0.55,1.0,16.0
14,0.64,0.694,0.0,0.41,0.64,0.5,1.0,16.0
15,0.64,0.694,0.0,0.41,0.64,0.5,1.0,16.0
16,0.56,0.493,-0.221,0.39,0.56,0.459,1.0,16.0
17,0.72,0.674,0.393,0.805,0.72,0.656,1.0,16.0
18,0.64,0.715,0.0,0.41,0.64,0.5,1.0,16.0
19,0.64,0.618,0.0,0.41,0.64,0.5,1.0,16.0
20,0.692,0.667,0.275,0.791,0.692,0.599,2.0,32.0
21,0.654,0.765,0.0,0.428,0.654,0.517,2.0,32.0
22,0.654,0.516,0.0,0.428,0.654,0.517,2.0,32.0
23,0.64,0.485,0.011,0.57,0.64,0.581,2.0,32.0
24,0.64,0.646,0.0,0.41,0.64,0.5,2.0,32.0
25,0.64,0.812,0.0,0.41,0.64,0.5,2.0,32.0
26,0.56,0.556,-0.221,0.39,0.56,0.459,2.0,32.0
27,0.64,0.674,0.0,0.41,0.64,0.5,2.0,32.0
28,0.72,0.722,0.393,0.805,0.72,0.656,2.0,32.0
29,0.64,0.653,0.086,0.597,0.64,0.558,2.0,32.0
30,0.654,0.719,0.0,0.428,0.654,0.517,3.0,64.0
31,0.654,0.582,0.0,0.428,0.654,0.517,3.0,64.0
32,0.654,0.66,0.0,0.428,0.654,0.517,3.0,64.0
33,0.68,0.89,0.0,0.462,0.68,0.55,3.0,64.0
34,0.64,0.59,0.0,0.41,0.64,0.5,3.0,64.0
35,0.64,0.903,0.0,0.41,0.64,0.5,3.0,64.0
36,0.52,0.535,-0.277,0.378,0.52,0.438,3.0,64.0
37,0.64,0.854,0.0,0.41,0.64,0.5,3.0,64.0
38,0.56,0.549,-0.221,0.39,0.56,0.459,3.0,64.0
39,0.64,0.424,0.086,0.597,0.64,0.558,3.0,64.0
40,0.654,0.654,0.0,0.428,0.654,0.517,4.0,128.0
41,0.654,0.797,0.0,0.428,0.654,0.517,4.0,128.0
42,0.654,0.627,0.0,0.428,0.654,0.517,4.0,128.0
43,0.68,0.654,0.0,0.462,0.68,0.55,4.0,128.0
44,0.64,0.708,0.0,0.41,0.64,0.5,4.0,128.0
45,0.64,0.771,0.0,0.41,0.64,0.5,4.0,128.0
46,0.64,0.674,0.0,0.41,0.64,0.5,4.0,128.0
47,0.64,0.431,0.086,0.597,0.64,0.558,4.0,128.0
48,0.64,0.819,0.0,0.41,0.64,0.5,4.0,128.0
49,0.68,0.722,0.272,0.787,0.68,0.584,4.0,128.0
50,0.692,0.771,0.243,0.686,0.692,0.638,5.0,256.0
51,0.654,0.562,0.0,0.428,0.654,0.517,5.0,256.0
52,0.615,0.562,-0.146,0.418,0.615,0.498,5.0,256.0
53,0.68,0.816,0.0,0.462,0.68,0.55,5.0,256.0
54,0.64,0.625,0.0,0.41,0.64,0.5,5.0,256.0
55,0.68,0.701,0.272,0.787,0.68,0.584,5.0,256.0
56,0.64,0.736,0.0,0.41,0.64,0.5,5.0,256.0
57,0.64,0.618,0.086,0.597,0.64,0.558,5.0,256.0
58,0.6,0.667,-0.153,0.4,0.6,0.48,5.0,256.0
59,0.64,0.549,0.0,0.41,0.64,0.5,5.0,256.0
60,0.615,0.503,-0.146,0.418,0.615,0.498,6.0,1024.0
61,0.654,0.889,0.0,0.428,0.654,0.517,6.0,1024.0
62,0.654,0.634,0.0,0.428,0.654,0.517,6.0,1024.0
63,0.68,0.64,0.168,0.646,0.68,0.644,6.0,1024.0
64,0.68,0.854,0.272,0.787,0.68,0.584,6.0,1024.0
65,0.6,0.438,-0.153,0.4,0.6,0.48,6.0,1024.0
66,0.64,0.646,0.0,0.41,0.64,0.5,6.0,1024.0
67,0.64,0.576,0.0,0.41,0.64,0.5,6.0,1024.0
68,0.64,0.66,0.0,0.41,0.64,0.5,6.0,1024.0
69,0.6,0.667,-0.153,0.4,0.6,0.48,6.0,1024.0
70,0.692,0.784,0.275,0.791,0.692,0.599,7.0,2048.0
71,0.654,0.66,0.0,0.428,0.654,0.517,7.0,2048.0
72,0.654,0.634,0.0,0.428,0.654,0.517,7.0,2048.0
73,0.68,0.757,0.0,0.462,0.68,0.55,7.0,2048.0
74,0.64,0.576,0.0,0.41,0.64,0.5,7.0,2048.0
75,0.64,0.569,0.0,0.41,0.64,0.5,7.0,2048.0
76,0.68,0.632,0.272,0.787,0.68,0.584,7.0,2048.0
77,0.56,0.444,-0.221,0.39,0.56,0.459,7.0,2048.0
78,0.68,0.75,0.272,0.787,0.68,0.584,7.0,2048.0
79,0.64,0.688,0.127,0.607,0.64,0.595,7.0,2048.0
80,0.692,0.641,0.243,0.686,0.692,0.638,8.0,4096.0
81,0.615,0.601,-0.146,0.418,0.615,0.498,8.0,4096.0
82,0.692,0.797,0.275,0.791,0.692,0.599,8.0,4096.0
83,0.64,0.574,-0.14,0.453,0.64,0.531,8.0,4096.0
84,0.6,0.604,-0.153,0.4,0.6,0.48,8.0,4096.0
85,0.64,0.618,0.0,0.41,0.64,0.5,8.0,4096.0
86,0.64,0.75,0.0,0.41,0.64,0.5,8.0,4096.0
87,0.64,0.646,0.0,0.41,0.64,0.5,8.0,4096.0
88,0.64,0.771,0.0,0.41,0.64,0.5,8.0,4096.0
89,0.64,0.66,0.0,0.41,0.64,0.5,8.0,4096.0
90,0.692,0.673,0.275,0.791,0.692,0.599,9.0,8192.0
91,0.615,0.595,-0.146,0.418,0.615,0.498,9.0,8192.0
92,0.654,0.575,0.0,0.428,0.654,0.517,9.0,8192.0
93,0.64,0.559,0.011,0.57,0.64,0.581,9.0,8192.0
94,0.72,0.84,0.393,0.805,0.72,0.656,9.0,8192.0
95,0.64,0.562,0.0,0.41,0.64,0.5,9.0,8192.0
96,0.6,0.667,-0.153,0.4,0.6,0.48,9.0,8192.0
97,0.68,0.799,0.272,0.787,0.68,0.584,9.0,8192.0
98,0.64,0.701,0.0,0.41,0.64,0.5,9.0,8192.0
99,0.64,0.493,0.0,0.41,0.64,0.5,9.0,8192.0
